index,Composition,zT,total_mass
0,0,Cu2Se,1.8,206.052
1,1,Cu2Se+0.75wt.%C,2.4,224.61321567299998
2,2,Cu2Se+1%CuInSe2,2.6,209.41484
3,3,Cu2Se0.92S0.08,2.0,202.3004
4,4,Cu2Se (porosity 12.3%),1.9,206.052
5,5,Cu1.98S1/3Se1/3Te1/3,1.9,205.36274666666665
6,6,Cu2Se+0.3wt.%carbon fiber,2.4,213.4764862692
7,7,Cu2Se+0.15wt.%graphene,2.44,209.76424313459998
8,9,Na0.025Eu0.03Pb0.955Te,2.2,330.60966425
9,11,PbTe0.8S0.2+3%Na,2.3,316.3826931
10,12,PbTe0.7S0.3+2.5%K,2.2,307.1169575
11,13,(PbTe)0.86(PbSe)0.07(PbS)0.07+2%Na,2.0,325.1675454
12,14,Pb0.98Na0.02Te+6%MgTe,2.0,340.2300954
13,15,Bi0.05Ge0.99Te,2.0,209.962619
14,16,Ge0.76Sb0.08Pb0.12Te,2.3,217.4112
15,17,Ge0.815Pb0.15Sb0.035Te,2.2,222.14319999999998
16,18,Ge0.86Pb0.10Sb0.04Te,2.1,215.6608
17,19,Ge0.86Pb0.1Bi0.04Te,2.4,219.14961519999997
18,20,Ge0.89Sb0.1In0.01Te,2.3,205.57378
19,21,Ge0.9Sb0.1Te0.9Se0.05S0.05,2.1,197.94325
20,22,GeTe0.73PbSe0.27,2.1,394.3072
21,23,Sn0.99Pb0.01Se + Se quantum dot,2.0,198.55489999999998
22,24,Sn0.948Cd0.023Se,1.7,194.08253299999998
23,25,SnSe+2%SnTe,2.1,202.59619999999998
24,26,Sn0.98Pb0.01Zn0.01Se,2.2,198.02188999999998
25,27,Sn0.95Se,2.1,191.73449999999997
26,31,Cu2Se+0.8%Carbon dots,2.0,206.1480856
27,32,Cu2Se+0.1wt.% C coated Boron,2.23,208.5268287564
28,33,Cu1.98Se,1.4,204.78107999999997
29,34,Cu1.982Bi0.006Se,0.65,206.16205428
30,36,Cu2Se+10%TiO2,1.6,214.03858
31,37,Cu1.8Ag0.2Se0.9S0.1,1.6,210.22694
32,38,Cu2Se0.7Te0.3,1.42,220.64399999999998
33,40,Cu2Se+0.42wt.% nano boron,1.64,215.4080383224
34,41,Cu2Se+0.45wt.% Graphene,2.43,217.18872940379998
35,42,Cu2Se+0.3wt.% C fiber,2.4,213.4764862692
36,43,Cu1.98S1/3Se1/3Te1/3,1.89,205.36274666666665
37,44,Cu2Se (porosity 12.3%),1.92,206.052
38,45,Cu2Se0.8S0.2,1.65,196.673
39,46,Cu2Se0.92S0.08,2.01,202.3004
40,49,Cu1.98Sn0.01Se,1.01,205.96818
41,50,Cu2Se (Nano),1.82,206.052
42,51,Cu2S0.52Te0.48,2.1,205.0138
43,52,Cu2Se (Nano + amorphous),2.11,206.052
44,54,Cu2Se,1.61,206.052
45,55,Cu2Se,1.53,206.052
46,65,CaMn0.98Nb0.02O3,0.325,143.77361562
47,66,Ca0.9Yb0.1MnO3,0.2,156.310449
48,70,La0.95Sr0.05CoO3,0.18,243.27262499999998
49,72,La0.9Pb0.1CoO3,0.2,252.66635
50,73,La0.94Sr0.06CoO3,0.048,242.75977
51,74,La0.9Sr0.1CoO3,0.097,240.70835
52,79,Na1.7Co2O4,0.8,220.946609
53,84,Ca2.7Eu0.3Co4O9+δ,0.3,533.5272
54,85,Ca3Co4O9,0.16,499.9614
55,87,Ca2.61La0.09Ag0.3Co4O9,0.35,529.192935
56,91,BiCu0.975SeO,0.81,365.89712999999995
57,92,Bi0.94Pb0.06CuSeO,1.14,367.37895719999995
58,93,Bi0.875Ba0.125CuSeO,1.4,358.52910749999995
59,95,In1.8Ge0.2O3,0.45,269.1986
60,97,In1.98Co0.02O3,0.26,276.516504
61,104,Zn0.98Ga0.02O,0.27,81.49467999999999
62,105,Sr0.9Pr0.1TiO3,0.34,188.813965
63,108,Sr0.9La0.05Dy0.05Ti0.95Nb0.05O3,0.28,192.045444
64,110,Sr0.8La0.18Yb0.02TiO3,0.31,194.42499
65,114,Sr0.91La0.09TiO3,0.37,188.10089499999998
66,116,Sr0.85Pr0.15TiO3,0.35,191.47834749999998
67,125,Sr0.95Gd0.05TiO3,0.24,186.9667
68,130,SrTi0.85Nb0.15O3,0.4,190.241107
69,138,Sr0.9La0.1TiO3,0.269,188.61375
70,141,Sr0.5La0.33TiO3,0.27,185.514015
71,142,SrTi0.97Zr0.03O3,0.15,184.78591
72,143,SrTi0.9Nb0.1O3,0.21,187.989138
73,146,Sr0.93La0.07Ti0.93Nb0.07O3,0.43,190.2279416
74,147,Sr0.86Nd0.1Ti0.9Nb0.1O3,0.32,190.14633800000001
75,149,SrTi0.998Cr0.002O3,0.17,183.4934582
76,151,Sr0.9La0.1Ti0.8Nb0.2O3,0.31,197.621626
77,153,Sr0.9Nd0.1TiO3,0.37,189.1472
78,155,Sr0.97Ti0.8Nb0.2O3,0.236,189.864476
79,164,Sr0.87Dy0.07Nd0.06TiO3,0.19,192.124
80,166,Sr0.8La0.2TiO3,0.32,193.7423
81,171,SrTi0.8Nb0.2O2.75,0.29,188.493226
82,177,SrTi0.8V0.2O3,0.034,184.1001
83,178,SrTi0.8Ta0.2O3,0.035,210.10138
84,179,SrTi0.8Nb0.2O3,0.04,192.493076
